Director,IMDb Page
Sarah Kerruish,"{'Director': 'Sarah Kerruish', 'IMDb Page': 'https://www.imdb.com/name/nm0449884/?ref_=fn_nme_nme_1'}"
Sara Fattahi,"{'Director': 'Sara Fattahi', 'IMDb Page': 'https://www.imdb.com/name/nm7986571/?ref_=fn_nme_nme_1'}"
Liria Bégéja,"{'Director': 'Liria Bégéja', 'IMDb Page': 'https://www.imdb.com/name/nm0126752/?ref_=fn_nme_nme_1'}"
Gülten Taranç,"{'Director': 'Gülten Taranç', 'IMDb Page': 'https://www.imdb.com/name/nm11445951/?ref_=fn_nme_nme_1'}"
Marilyne Canto,"{'Director': 'Marilyne Canto', 'IMDb Page': 'https://www.imdb.com/name/nm0134618/?ref_=fn_nme_nme_1'}"
Helen Lee,"{'Director': 'Helen Lee', 'IMDb Page': 'https://www.imdb.com/name/nm9293651/?ref_=fn_nme_nme_1'}"
Barbora Chalupová,"{'Director': 'Barbora Chalupová', 'IMDb Page': 'https://www.imdb.com/name/nm11395736/?ref_=fn_nme_nme_1'}"
Liene Laviņa,"{'Director': 'Liene Laviņa', 'IMDb Page': 'https://www.imdb.com/name/nm15366272/?ref_=fn_nme_nme_1'}"
Caroline Roboh,"{'Director': 'Caroline Roboh', 'IMDb Page': 'https://www.imdb.com/name/nm1046580/?ref_=fn_nme_nme_1'}"
Uschi Madeisky,"{'Director': 'Uschi Madeisky', 'IMDb Page': 'https://www.imdb.com/name/nm1386120/?ref_=fn_nme_nme_1'}"
Ana Luíza Azevedo,"{'Director': 'Ana Luíza Azevedo', 'IMDb Page': 'https://www.imdb.com/name/nm0044218/?ref_=fn_nme_nme_1'}"
Gema Mirón Díaz,"{'Director': 'Gema Mirón Díaz', 'IMDb Page': 'Not Found'}"
Lena Knauss,"{'Director': 'Lena Knauss', 'IMDb Page': 'https://www.imdb.com/name/nm3554474/?ref_=fn_nme_nme_1'}"
Steffi Unrein-Giaracuni,"{'Director': 'Steffi Unrein-Giaracuni', 'IMDb Page': 'Not Found'}"
Alexandra Lescaze,"{'Director': 'Alexandra Lescaze', 'IMDb Page': 'https://www.imdb.com/name/nm3661321/?ref_=fn_nme_nme_1'}"
Susan Kaplan,"{'Director': 'Susan Kaplan', 'IMDb Page': 'https://www.imdb.com/name/nm0438379/?ref_=fn_nme_nme_1'}"
Enza Negroni,"{'Director': 'Enza Negroni', 'IMDb Page': 'https://www.imdb.com/name/nm0624513/?ref_=fn_nme_nme_1'}"
Astrid Bussink,"{'Director': 'Astrid Bussink', 'IMDb Page': 'https://www.imdb.com/name/nm2883174/?ref_=fn_nme_nme_1'}"
Jasmin Herold,"{'Director': 'Jasmin Herold', 'IMDb Page': 'https://www.imdb.com/name/nm9382102/?ref_=fn_nme_nme_1'}"
Luisa Porrino,"{'Director': 'Luisa Porrino', 'IMDb Page': 'https://www.imdb.com/name/nm1618910/?ref_=fn_nme_nme_1'}"
Ditte Haarløv Johnsen,"{'Director': 'Ditte Haarløv Johnsen', 'IMDb Page': 'https://www.imdb.com/name/nm3025489/?ref_=fn_nme_nme_1'}"
Shilpa Ranade,"{'Director': 'Shilpa Ranade', 'IMDb Page': 'https://www.imdb.com/name/nm4878006/?ref_=fn_nme_nme_1'}"
Judit Kalmar,"{'Director': 'Judit Kalmar', 'IMDb Page': 'https://www.imdb.com/name/nm12159303/?ref_=fn_nme_nme_1'}"
Celine Carlisle,"{'Director': 'Celine Carlisle', 'IMDb Page': 'https://www.imdb.com/name/nm12159304/?ref_=fn_nme_nme_1'}"
Iman al-Mesbahi,"{'Director': 'Iman al-Mesbahi', 'IMDb Page': 'https://www.imdb.com/name/nm11218977/?ref_=fn_nme_nme_1'}"
Julia Vargas-Weise,"{'Director': 'Julia Vargas-Weise', 'IMDb Page': 'https://www.imdb.com/name/nm1382038/?ref_=fn_nme_nme_1'}"
Marie-Hélène Panisset,"{'Director': 'Marie-Hélène Panisset', 'IMDb Page': 'https://www.imdb.com/name/nm0659527/?ref_=fn_nme_nme_1'}"
Bianca Bodau,"{'Director': 'Bianca Bodau', 'IMDb Page': 'https://www.imdb.com/name/nm1440904/?ref_=fn_nme_nme_1'}"
Claudia Mützelfeldt,"{'Director': 'Claudia Mützelfeldt', 'IMDb Page': 'https://www.imdb.com/name/nm1729383/?ref_=fn_nme_nme_1'}"
Ali Liebert,"{'Director': 'Ali Liebert', 'IMDb Page': 'https://www.imdb.com/name/nm1650932/?ref_=fn_nme_nme_1'}"
Ana Rosa Diego,"{'Director': 'Ana Rosa Diego', 'IMDb Page': 'https://www.imdb.com/name/nm15662617/?ref_=fn_nme_nme_1'}"
Carey McKenzie,"{'Director': 'Carey McKenzie', 'IMDb Page': 'https://www.imdb.com/name/nm0774760/?ref_=fn_nme_nme_1'}"
Nnegest Likké,"{'Director': 'Nnegest Likké', 'IMDb Page': 'https://www.imdb.com/name/nm2104340/?ref_=fn_nme_nme_1'}"
Farah X,"{'Director': 'Farah X', 'IMDb Page': 'https://www.imdb.com/name/nm1065686/?ref_=fn_nme_nme_1'}"
Sarah Cordery,"{'Director': 'Sarah Cordery', 'IMDb Page': 'https://www.imdb.com/name/nm7939172/?ref_=fn_nme_nme_1'}"
Gail Dolgin,"{'Director': 'Gail Dolgin', 'IMDb Page': 'https://www.imdb.com/name/nm0231000/?ref_=fn_nme_nme_1'}"
Lola Arias,"{'Director': 'Lola Arias', 'IMDb Page': 'https://www.imdb.com/name/nm8229588/?ref_=fn_nme_nme_1'}"
Joana Georgi,"{'Director': 'Joana Georgi', 'IMDb Page': 'https://www.imdb.com/name/nm16043696/?ref_=fn_nme_nme_1'}"
Anja Jacobs,"{'Director': 'Anja Jacobs', 'IMDb Page': 'https://www.imdb.com/name/nm1292825/?ref_=fn_nme_nme_1'}"
Deborah Haywood,"{'Director': 'Deborah Haywood', 'IMDb Page': 'https://www.imdb.com/name/nm3061605/?ref_=fn_nme_nme_1'}"
Julie Davis,"{'Director': 'Julie Davis', 'IMDb Page': 'https://www.imdb.com/name/nm0006874/?ref_=fn_nme_nme_1'}"
Baya Kasmi,"{'Director': 'Baya Kasmi', 'IMDb Page': 'https://www.imdb.com/name/nm1928581/?ref_=fn_nme_nme_1'}"
Marleen Gorris,"{'Director': 'Marleen Gorris', 'IMDb Page': 'https://www.imdb.com/name/nm0331296/?ref_=fn_nme_nme_1'}"
Lenny Van Wesemael,"{'Director': 'Lenny Van Wesemael', 'IMDb Page': 'https://www.imdb.com/name/nm0888281/?ref_=fn_nme_nme_1'}"
Natalie Metzger,"{'Director': 'Natalie Metzger', 'IMDb Page': 'https://www.imdb.com/name/nm4236736/?ref_=fn_nme_nme_1'}"
Rena Riffel,"{'Director': 'Rena Riffel', 'IMDb Page': 'https://www.imdb.com/name/nm0726457/?ref_=fn_nme_nme_1'}"
Ann Shin,"{'Director': 'Ann Shin', 'IMDb Page': 'https://www.imdb.com/name/nm1139742/?ref_=fn_nme_nme_1'}"
Yvette Hoffman,"{'Director': 'Yvette Hoffman', 'IMDb Page': 'https://www.imdb.com/name/nm0389133/?ref_=fn_nme_nme_1'}"
Kim Kielhofner,"{'Director': 'Kim Kielhofner', 'IMDb Page': 'https://www.imdb.com/name/nm8804462/?ref_=fn_nme_nme_1'}"
Divya Bandaru,"{'Director': 'Divya Bandaru', 'IMDb Page': 'https://www.imdb.com/name/nm10155334/?ref_=fn_nme_nme_1'}"
Pat Fiske,"{'Director': 'Pat Fiske', 'IMDb Page': 'https://www.imdb.com/name/nm0279958/?ref_=fn_nme_nme_1'}"
Esther Pérez de Eulate,"{'Director': 'Esther Pérez de Eulate', 'IMDb Page': 'https://www.imdb.com/name/nm13110373/?ref_=fn_nme_nme_1'}"
Ella Mikkola,"{'Director': 'Ella Mikkola', 'IMDb Page': 'https://www.imdb.com/name/nm9172726/?ref_=fn_nme_nme_1'}"
LP,"{'Director': 'LP', 'IMDb Page': 'https://www.imdb.com/name/nm0663469/?ref_=fn_nme_nme_1'}"
Adriana Lestido,"{'Director': 'Adriana Lestido', 'IMDb Page': 'https://www.imdb.com/name/nm14739970/?ref_=fn_nme_nme_1'}"
Julia Bracher,"{'Director': 'Julia Bracher', 'IMDb Page': 'https://www.imdb.com/name/nm8139777/?ref_=fn_nme_nme_1'}"
Lia Sudermann,"{'Director': 'Lia Sudermann', 'IMDb Page': 'https://www.imdb.com/name/nm7470865/?ref_=fn_nme_nme_1'}"
Nicole Riegel,"{'Director': 'Nicole Riegel', 'IMDb Page': 'https://www.imdb.com/name/nm6177822/?ref_=fn_nme_nme_1'}"
Edith Patrouilleau,"{'Director': 'Edith Patrouilleau', 'IMDb Page': 'https://www.imdb.com/name/nm10113306/?ref_=fn_nme_nme_1'}"
Einat Fernbach,"{'Director': 'Einat Fernbach', 'IMDb Page': 'https://www.imdb.com/name/nm4400389/?ref_=fn_nme_nme_1'}"
Fleur Beemster,"{'Director': 'Fleur Beemster', 'IMDb Page': 'https://www.imdb.com/name/nm7969425/?ref_=fn_nme_nme_1'}"
Elise Roodenburg,"{'Director': 'Elise Roodenburg', 'IMDb Page': 'https://www.imdb.com/name/nm7732865/?ref_=fn_nme_nme_1'}"
Brigita Eglīte,"{'Director': 'Brigita Eglīte', 'IMDb Page': 'https://www.imdb.com/name/nm10274510/?ref_=fn_nme_nme_1'}"
Nuria Menchaca,"{'Director': 'Nuria Menchaca', 'IMDb Page': 'https://www.imdb.com/name/nm6450475/?ref_=fn_nme_nme_1'}"
Lene Berg,"{'Director': 'Lene Berg', 'IMDb Page': 'https://www.imdb.com/name/nm0075140/?ref_=fn_nme_nme_1'}"
Leticia Jorge,"{'Director': 'Leticia Jorge', 'IMDb Page': 'https://www.imdb.com/name/nm3087245/?ref_=fn_nme_nme_1'}"
Ana Guevara,"{'Director': 'Ana Guevara', 'IMDb Page': 'https://www.imdb.com/name/nm3383582/?ref_=fn_nme_nme_1'}"
Mirjana Vukomanović,"{'Director': 'Mirjana Vukomanović', 'IMDb Page': 'https://www.imdb.com/name/nm0904361/?ref_=fn_nme_nme_1'}"
Salomé Jashi,"{'Director': 'Salomé Jashi', 'IMDb Page': 'https://www.imdb.com/name/nm4480391/?ref_=fn_nme_nme_1'}"
Sarah Kernochan,"{'Director': 'Sarah Kernochan', 'IMDb Page': 'https://www.imdb.com/name/nm0449576/?ref_=fn_nme_nme_1'}"
Anne-Marie Haller,"{'Director': 'Anne-Marie Haller', 'IMDb Page': 'https://www.imdb.com/name/nm3338653/?ref_=fn_nme_nme_1'}"
Deborah Esquenazi,"{'Director': 'Deborah Esquenazi', 'IMDb Page': 'https://www.imdb.com/name/nm3509869/?ref_=fn_nme_nme_1'}"
Mareike Engelhardt,"{'Director': 'Mareike Engelhardt', 'IMDb Page': 'https://www.imdb.com/name/nm4496825/?ref_=fn_nme_nme_1'}"
Nesrin Şamdereli,"{'Director': 'Nesrin Şamdereli', 'IMDb Page': 'https://www.imdb.com/name/nm0759776/?ref_=fn_nme_nme_1'}"
Deborah Anderson,"{'Director': 'Deborah Anderson', 'IMDb Page': 'https://www.imdb.com/name/nm2935964/?ref_=fn_nme_nme_1'}"
Estela Bravo,"{'Director': 'Estela Bravo', 'IMDb Page': 'https://www.imdb.com/name/nm0106073/?ref_=fn_nme_nme_1'}"
Marisa Middleton,"{'Director': 'Marisa Middleton', 'IMDb Page': 'https://www.imdb.com/name/nm2257246/?ref_=fn_nme_nme_1'}"
Patricia Figueiredo,"{'Director': 'Patricia Figueiredo', 'IMDb Page': 'https://www.imdb.com/name/nm11216406/?ref_=fn_nme_nme_1'}"
Tanne Sommer,"{'Director': 'Tanne Sommer', 'IMDb Page': 'https://www.imdb.com/name/nm3288173/?ref_=fn_nme_nme_1'}"
Natalya Vorozhbyt,"{'Director': 'Natalya Vorozhbyt', 'IMDb Page': 'https://www.imdb.com/name/nm3770838/?ref_=fn_nme_nme_1'}"
Marie Brodeur,"{'Director': 'Marie Brodeur', 'IMDb Page': 'https://www.imdb.com/name/nm0110868/?ref_=fn_nme_nme_1'}"
Anne Lévy-Morelle,"{'Director': 'Anne Lévy-Morelle', 'IMDb Page': 'https://www.imdb.com/name/nm0529742/?ref_=fn_nme_nme_1'}"
Alexandra Dean,"{'Director': 'Alexandra Dean', 'IMDb Page': 'https://www.imdb.com/name/nm0005224/?ref_=fn_nme_nme_1'}"
Lucy Akhurst,"{'Director': 'Lucy Akhurst', 'IMDb Page': 'https://www.imdb.com/name/nm0015300/?ref_=fn_nme_nme_1'}"
Marta Luna,"{'Director': 'Marta Luna', 'IMDb Page': 'https://www.imdb.com/name/nm0526063/?ref_=fn_nme_nme_1'}"
Élisabeth Desbiens,"{'Director': 'Élisabeth Desbiens', 'IMDb Page': 'https://www.imdb.com/name/nm6325630/?ref_=fn_nme_nme_1'}"
Jorien van Nes,"{'Director': 'Jorien van Nes', 'IMDb Page': 'https://www.imdb.com/name/nm0887548/?ref_=fn_nme_nme_1'}"
Veronica Bilbao La Vieja,"{'Director': 'Veronica Bilbao La Vieja', 'IMDb Page': 'https://www.imdb.com/name/nm0675750/?ref_=fn_nme_nme_1'}"
Monika Grassl,"{'Director': 'Monika Grassl', 'IMDb Page': 'https://www.imdb.com/name/nm6426651/?ref_=fn_nme_nme_1'}"
Julia Dahr,"{'Director': 'Julia Dahr', 'IMDb Page': 'https://www.imdb.com/name/nm8442996/?ref_=fn_nme_nme_1'}"
Lana Marconi,"{'Director': 'Lana Marconi', 'IMDb Page': 'https://www.imdb.com/name/nm0545867/?ref_=fn_nme_nme_1'}"
Zemira Alajbegović Pečovnik,"{'Director': 'Zemira Alajbegović Pečovnik', 'IMDb Page': 'Not Found'}"
Jess Bond,"{'Director': 'Jess Bond', 'IMDb Page': 'https://www.imdb.com/name/nm1881997/?ref_=fn_nme_nme_1'}"
Belma Baş,"{'Director': 'Belma Baş', 'IMDb Page': 'https://www.imdb.com/name/nm2268763/?ref_=fn_nme_nme_1'}"
Irene Loebell,"{'Director': 'Irene Loebell', 'IMDb Page': 'https://www.imdb.com/name/nm2844432/?ref_=fn_nme_nme_1'}"
Sophie Kargman,"{'Director': 'Sophie Kargman', 'IMDb Page': 'https://www.imdb.com/name/nm3907977/?ref_=fn_nme_nme_1'}"
Jo Eun-ji,"{'Director': 'Jo Eun-ji', 'IMDb Page': 'https://www.imdb.com/name/nm0423259/?ref_=fn_nme_nme_1'}"
Nadya Derado,"{'Director': 'Nadya Derado', 'IMDb Page': 'https://www.imdb.com/name/nm1096204/?ref_=fn_nme_nme_1'}"
Kayla Eva,"{'Director': 'Kayla Eva', 'IMDb Page': 'https://www.imdb.com/name/nm5630449/?ref_=fn_nme_nme_1'}"
Nadia Ali,"{'Director': 'Nadia Ali', 'IMDb Page': 'https://www.imdb.com/name/nm6400198/?ref_=fn_nme_nme_1'}"
Amy Holden Jones,"{'Director': 'Amy Holden Jones', 'IMDb Page': 'https://www.imdb.com/name/nm0427468/?ref_=fn_nme_nme_1'}"
Ana Díez,"{'Director': 'Ana Díez', 'IMDb Page': 'https://www.imdb.com/name/nm0246781/?ref_=fn_nme_nme_1'}"
Anna Neye Poulsen,"{'Director': 'Anna Neye Poulsen', 'IMDb Page': 'https://www.imdb.com/name/nm1728823/?ref_=fn_nme_nme_1'}"
Meri Koivisto,"{'Director': 'Meri Koivisto', 'IMDb Page': 'https://www.imdb.com/name/nm2642643/?ref_=fn_nme_nme_1'}"
Manuela Dias,"{'Director': 'Manuela Dias', 'IMDb Page': 'https://www.imdb.com/name/nm0224887/?ref_=fn_nme_nme_1'}"
Vera Fogwill,"{'Director': 'Vera Fogwill', 'IMDb Page': 'https://www.imdb.com/name/nm0283978/?ref_=fn_nme_nme_1'}"
Christine Fellows,"{'Director': 'Christine Fellows', 'IMDb Page': 'https://www.imdb.com/name/nm1970096/?ref_=fn_nme_nme_1'}"
Karolina Brobäck,"{'Director': 'Karolina Brobäck', 'IMDb Page': 'https://www.imdb.com/name/nm4380668/?ref_=fn_nme_nme_1'}"
Gladys Florence,"{'Director': 'Gladys Florence', 'IMDb Page': 'https://www.imdb.com/name/nm2340291/?ref_=fn_nme_nme_1'}"
Ratna Sarumpaet,"{'Director': 'Ratna Sarumpaet', 'IMDb Page': 'https://www.imdb.com/name/nm3447689/?ref_=fn_nme_nme_1'}"
Joan Churchill,"{'Director': 'Joan Churchill', 'IMDb Page': 'https://www.imdb.com/name/nm0161443/?ref_=fn_nme_nme_1'}"
Hila Peleg,"{'Director': 'Hila Peleg', 'IMDb Page': 'https://www.imdb.com/name/nm6867978/?ref_=fn_nme_nme_1'}"
Marion Kainz,"{'Director': 'Marion Kainz', 'IMDb Page': 'https://www.imdb.com/name/nm0994333/?ref_=fn_nme_nme_1'}"
Regina Pessoa,"{'Director': 'Regina Pessoa', 'IMDb Page': 'https://www.imdb.com/name/nm0676083/?ref_=fn_nme_nme_1'}"
Myra Paci,"{'Director': 'Myra Paci', 'IMDb Page': 'https://www.imdb.com/name/nm0655389/?ref_=fn_nme_nme_1'}"
Clara Roquet,"{'Director': 'Clara Roquet', 'IMDb Page': 'https://www.imdb.com/name/nm4652014/?ref_=fn_nme_nme_1'}"
Alison Reid,"{'Director': 'Alison Reid', 'IMDb Page': 'https://www.imdb.com/name/nm0717163/?ref_=fn_nme_nme_1'}"
Ileana Pietrobruno,"{'Director': 'Ileana Pietrobruno', 'IMDb Page': 'https://www.imdb.com/name/nm0682913/?ref_=fn_nme_nme_1'}"
Annemieke Schollaardt,"{'Director': 'Annemieke Schollaardt', 'IMDb Page': 'https://www.imdb.com/name/nm2416540/?ref_=fn_nme_nme_1'}"
Nathalie Plico,"{'Director': 'Nathalie Plico', 'IMDb Page': 'https://www.imdb.com/name/nm4724724/?ref_=fn_nme_nme_1'}"
Eve Ramboz,"{'Director': 'Eve Ramboz', 'IMDb Page': 'https://www.imdb.com/name/nm0708120/?ref_=fn_nme_nme_1'}"
Amy Stechler,"{'Director': 'Amy Stechler', 'IMDb Page': 'https://www.imdb.com/name/nm0122562/?ref_=fn_nme_nme_1'}"
Frances Negrón-Muntaner,"{'Director': 'Frances Negrón-Muntaner', 'IMDb Page': 'https://www.imdb.com/name/nm2311869/?ref_=fn_nme_nme_1'}"
Ashley McKenzie,"{'Director': 'Ashley McKenzie', 'IMDb Page': 'https://www.imdb.com/name/nm3931585/?ref_=fn_nme_nme_1'}"
Elina Suni,"{'Director': 'Elina Suni', 'IMDb Page': 'https://www.imdb.com/name/nm2370194/?ref_=fn_nme_nme_1'}"
Nana Jorjadze,"{'Director': 'Nana Jorjadze', 'IMDb Page': 'https://www.imdb.com/name/nm0246159/?ref_=fn_nme_nme_1'}"
Pinoe Andersen,"{'Director': 'Pinoe Andersen', 'IMDb Page': 'https://www.imdb.com/name/nm5440386/?ref_=fn_nme_nme_1'}"
Audrey Wells,"{'Director': 'Audrey Wells', 'IMDb Page': 'https://www.imdb.com/name/nm0920108/?ref_=fn_nme_nme_1'}"
Emelie Wallgren,"{'Director': 'Emelie Wallgren', 'IMDb Page': 'https://www.imdb.com/name/nm4219431/?ref_=fn_nme_nme_1'}"
Konstanze Burkard,"{'Director': 'Konstanze Burkard', 'IMDb Page': 'https://www.imdb.com/name/nm2702427/?ref_=fn_nme_nme_1'}"
Julie Kreuzer,"{'Director': 'Julie Kreuzer', 'IMDb Page': 'https://www.imdb.com/name/nm2013320/?ref_=fn_nme_nme_1'}"
Dorothée Sebbagh,"{'Director': 'Dorothée Sebbagh', 'IMDb Page': 'https://www.imdb.com/name/nm0780999/?ref_=fn_nme_nme_1'}"
Anna Pitoun,"{'Director': 'Anna Pitoun', 'IMDb Page': 'https://www.imdb.com/name/nm2695332/?ref_=fn_nme_nme_1'}"
Alison Locke,"{'Director': 'Alison Locke', 'IMDb Page': 'https://www.imdb.com/name/nm1936232/?ref_=fn_nme_nme_1'}"
Anouk Whissell,"{'Director': 'Anouk Whissell', 'IMDb Page': 'https://www.imdb.com/name/nm2377436/?ref_=fn_nme_nme_1'}"
Fernanda Ramondo,"{'Director': 'Fernanda Ramondo', 'IMDb Page': 'https://www.imdb.com/name/nm3482452/?ref_=fn_nme_nme_1'}"
Lea Hjort Mathiesen,"{'Director': 'Lea Hjort Mathiesen', 'IMDb Page': 'https://www.imdb.com/name/nm2170984/?ref_=fn_nme_nme_1'}"
Caroline Underwood,"{'Director': 'Caroline Underwood', 'IMDb Page': 'https://www.imdb.com/name/nm0880990/?ref_=fn_nme_nme_1'}"
Dora Bryan,"{'Director': 'Dora Bryan', 'IMDb Page': 'https://www.imdb.com/name/nm0116932/?ref_=fn_nme_nme_1'}"
Amanda Micheli,"{'Director': 'Amanda Micheli', 'IMDb Page': 'https://www.imdb.com/name/nm0584974/?ref_=fn_nme_nme_1'}"
Johanna Sunder-Plassmann,"{'Director': 'Johanna Sunder-Plassmann', 'IMDb Page': 'https://www.imdb.com/name/nm8979388/?ref_=fn_nme_nme_1'}"
Tama Tobias-Macht,"{'Director': 'Tama Tobias-Macht', 'IMDb Page': 'https://www.imdb.com/name/nm8903887/?ref_=fn_nme_nme_1'}"
Renate Stegmüller,"{'Director': 'Renate Stegmüller', 'IMDb Page': 'https://www.imdb.com/name/nm1284494/?ref_=fn_nme_nme_1'}"
Maeve Murphy,"{'Director': 'Maeve Murphy', 'IMDb Page': 'https://www.imdb.com/name/nm0614479/?ref_=fn_nme_nme_1'}"
Maria Lassnig,"{'Director': 'Maria Lassnig', 'IMDb Page': 'https://www.imdb.com/name/nm0489887/?ref_=fn_nme_nme_1'}"
Jenny,"{'Director': 'Jenny', 'IMDb Page': 'https://www.imdb.com/name/nm0000124/?ref_=fn_nme_nme_1'}"
Lissette Orozco,"{'Director': 'Lissette Orozco', 'IMDb Page': 'https://www.imdb.com/name/nm5093403/?ref_=fn_nme_nme_1'}"
Katia Café-Fébrissy,"{'Director': 'Katia Café-Fébrissy', 'IMDb Page': 'https://www.imdb.com/name/nm7850236/?ref_=fn_nme_nme_1'}"
Sohn Won-pyung,"{'Director': 'Sohn Won-pyung', 'IMDb Page': 'https://www.imdb.com/name/nm6235504/?ref_=fn_nme_nme_1'}"
Sarah Friedland,"{'Director': 'Sarah Friedland', 'IMDb Page': 'https://www.imdb.com/name/nm5884795/?ref_=fn_nme_nme_1'}"
Masha Zur Glozman,"{'Director': 'Masha Zur Glozman', 'IMDb Page': 'https://www.imdb.com/name/nm2089027/?ref_=fn_nme_nme_1'}"
Lawrence Côté-Collins,"{'Director': 'Lawrence Côté-Collins', 'IMDb Page': 'https://www.imdb.com/name/nm4197711/?ref_=fn_nme_nme_1'}"
Filipa César,"{'Director': 'Filipa César', 'IMDb Page': 'https://www.imdb.com/name/nm4250571/?ref_=fn_nme_nme_1'}"
Alyona Zvantsova,"{'Director': 'Alyona Zvantsova', 'IMDb Page': 'https://www.imdb.com/name/nm1636823/?ref_=fn_nme_nme_1'}"
Liwaa Yazji,"{'Director': 'Liwaa Yazji', 'IMDb Page': 'https://www.imdb.com/name/nm6635739/?ref_=fn_nme_nme_1'}"
Amanda McBaine,"{'Director': 'Amanda McBaine', 'IMDb Page': 'https://www.imdb.com/name/nm1402872/?ref_=fn_nme_nme_1'}"
Julie Stevens,"{'Director': 'Julie Stevens', 'IMDb Page': 'https://www.imdb.com/name/nm10321182/?ref_=fn_nme_nme_1'}"
Nel Minchin,"{'Director': 'Nel Minchin', 'IMDb Page': 'https://www.imdb.com/name/nm3924068/?ref_=fn_nme_nme_1'}"
Rhian Skirving,"{'Director': 'Rhian Skirving', 'IMDb Page': 'https://www.imdb.com/name/nm2847577/?ref_=fn_nme_nme_1'}"
Susan Stroman,"{'Director': 'Susan Stroman', 'IMDb Page': 'https://www.imdb.com/name/nm0834893/?ref_=fn_nme_nme_1'}"
Claudia Richarz,"{'Director': 'Claudia Richarz', 'IMDb Page': 'https://www.imdb.com/name/nm0724829/?ref_=fn_nme_nme_1'}"
Ingela Magner,"{'Director': 'Ingela Magner', 'IMDb Page': 'https://www.imdb.com/name/nm0536213/?ref_=fn_nme_nme_1'}"
Laurel Nakadate,"{'Director': 'Laurel Nakadate', 'IMDb Page': 'https://www.imdb.com/name/nm3235549/?ref_=fn_nme_nme_1'}"
Zsuzsa Méry,"{'Director': 'Zsuzsa Méry', 'IMDb Page': 'https://www.imdb.com/name/nm5692856/?ref_=fn_nme_nme_1'}"
Gerda Leopold,"{'Director': 'Gerda Leopold', 'IMDb Page': 'https://www.imdb.com/name/nm8361312/?ref_=fn_nme_nme_1'}"
Kathlyn Horan,"{'Director': 'Kathlyn Horan', 'IMDb Page': 'https://www.imdb.com/name/nm4733062/?ref_=fn_nme_nme_1'}"
Dżamila Ankiewicz,"{'Director': 'Dżamila Ankiewicz', 'IMDb Page': 'https://www.imdb.com/name/nm0030173/?ref_=fn_nme_nme_1'}"
Sadhvi Siddhali Shree,"{'Director': 'Sadhvi Siddhali Shree', 'IMDb Page': 'https://www.imdb.com/name/nm8400507/?ref_=fn_nme_nme_1'}"
Elizabeth Gardner,"{'Director': 'Elizabeth Gardner', 'IMDb Page': 'https://www.imdb.com/name/nm4722966/?ref_=fn_nme_nme_1'}"
Cille Hannibal,"{'Director': 'Cille Hannibal', 'IMDb Page': 'https://www.imdb.com/name/nm6130843/?ref_=fn_nme_nme_1'}"
Katrin Gebbe,"{'Director': 'Katrin Gebbe', 'IMDb Page': 'https://www.imdb.com/name/nm3299248/?ref_=fn_nme_nme_1'}"
Catherine Lachance,"{'Director': 'Catherine Lachance', 'IMDb Page': 'https://www.imdb.com/name/nm0479978/?ref_=fn_nme_nme_1'}"
Oluwaseun Babalola,"{'Director': 'Oluwaseun Babalola', 'IMDb Page': 'https://www.imdb.com/name/nm4209964/?ref_=fn_nme_nme_1'}"
Chiara Bellosi,"{'Director': 'Chiara Bellosi', 'IMDb Page': 'https://www.imdb.com/name/nm3113919/?ref_=fn_nme_nme_1'}"
Manuela Viegas,"{'Director': 'Manuela Viegas', 'IMDb Page': 'https://www.imdb.com/name/nm0896596/?ref_=fn_nme_nme_1'}"
Vanesa Freixa i Riba,"{'Director': 'Vanesa Freixa i Riba', 'IMDb Page': 'Not Found'}"
Pippa Bianco,"{'Director': 'Pippa Bianco', 'IMDb Page': 'https://www.imdb.com/name/nm4549849/?ref_=fn_nme_nme_1'}"
Marcelina Martin,"{'Director': 'Marcelina Martin', 'IMDb Page': 'https://www.imdb.com/name/nm4813229/?ref_=fn_nme_nme_1'}"
Lisa Milroy,"{'Director': 'Lisa Milroy', 'IMDb Page': 'https://www.imdb.com/name/nm7060757/?ref_=fn_nme_nme_1'}"
Ana Urushadze,"{'Director': 'Ana Urushadze', 'IMDb Page': 'https://www.imdb.com/name/nm9137659/?ref_=fn_nme_nme_1'}"
Natasha Kermani,"{'Director': 'Natasha Kermani', 'IMDb Page': 'https://www.imdb.com/name/nm2992403/?ref_=fn_nme_nme_1'}"
Natalya Rodionova,"{'Director': 'Natalya Rodionova', 'IMDb Page': 'https://www.imdb.com/name/nm6900759/?ref_=fn_nme_nme_1'}"
Barbara Eder,"{'Director': 'Barbara Eder', 'IMDb Page': 'https://www.imdb.com/name/nm1265673/?ref_=fn_nme_nme_1'}"
Myriam Angueira,"{'Director': 'Myriam Angueira', 'IMDb Page': 'https://www.imdb.com/name/nm1419354/?ref_=fn_nme_nme_1'}"
Rosa Fong,"{'Director': 'Rosa Fong', 'IMDb Page': 'https://www.imdb.com/name/nm2279572/?ref_=fn_nme_nme_1'}"
Nienke Römer,"{'Director': 'Nienke Römer', 'IMDb Page': 'https://www.imdb.com/name/nm0753954/?ref_=fn_nme_nme_1'}"
Louise Holmegaard Kottal,"{'Director': 'Louise Holmegaard Kottal', 'IMDb Page': 'Not Found'}"
